0.911,0.759,-0.530,0.525,-0.506,0.519
-1.476,-1.317,0.572,0.525,-0.506,-2.053
0.911,-1.317,-0.255,-0.552,-0.506,0.519
-1.476,-1.317,0.365,0.525,-0.506,0.519
0.911,0.759,0.365,-0.552,-0.506,0.519
-1.476,0.759,1.674,-0.552,-0.506,0.519
0.911,0.759,-1.908,2.677,0.667,0.519
0.911,-1.317,-0.186,-0.552,1.840,0.519
-0.283,-1.317,-1.081,0.525,-0.506,-2.053
0.911,-1.317,-1.770,0.525,0.667,0.519
-1.476,-1.317,1.950,-0.552,-0.506,0.519
0.911,0.759,-0.668,-0.552,-0.506,0.519
0.911,0.759,0.641,0.525,5.358,0.519
0.911,-1.317,-1.081,-0.552,-0.506,0.519
-0.283,-1.317,1.743,-0.552,-0.506,0.519
0.911,0.759,-1.908,3.753,0.667,-0.767
0.911,-1.317,0.090,0.525,-0.506,0.519
-0.283,0.759,0.365,-0.552,-0.506,0.519
-0.283,0.759,0.296,-0.552,-0.506,0.519
0.911,-1.317,-1.013,-0.552,-0.506,-0.767
-1.476,0.759,-0.117,-0.552,-0.506,0.519
0.911,-1.317,-1.495,2.677,0.667,0.519
0.911,-1.317,0.572,0.525,5.358,0.519
-1.476,0.759,-0.737,2.677,1.840,0.519
-1.476,0.759,0.710,-0.552,-0.506,-2.053
-0.283,0.759,2.501,-0.552,-0.506,0.519
-1.476,0.759,-0.117,0.525,-0.506,-2.053
-1.476,0.759,0.847,0.525,-0.506,0.519
0.911,0.759,-0.599,-0.552,-0.506,0.519
0.911,-1.317,-0.806,1.601,-0.506,0.519
0.911,-1.317,-1.081,0.525,-0.506,-2.053
0.911,-1.317,0.710,0.525,-0.506,0.519
-0.283,-1.317,-0.186,0.525,-0.506,0.519
-0.283,-1.317,-1.839,0.525,1.840,-2.053
0.911,-1.317,-0.737,-0.552,-0.506,-0.767
0.911,-1.317,-0.806,0.525,-0.506,0.519
0.911,0.759,-1.564,3.753,0.667,0.519
0.911,0.759,-0.599,-0.552,-0.506,0.519
-1.476,-1.317,1.330,0.525,-0.506,-2.053
-0.283,-1.317,-0.048,0.525,-0.506,0.519
-1.476,0.759,2.432,-0.552,0.667,-2.053
-0.283,-1.317,-0.599,-0.552,-0.506,0.519
0.911,0.759,-0.083,-0.552,-0.506,-2.053
-0.283,-1.317,-1.701,0.525,1.840,0.519
0.911,0.759,-1.288,4.830,1.840,0.519
0.911,0.759,-0.530,-0.552,-0.506,-2.053
-1.476,-1.317,0.572,-0.552,-0.506,0.519
-1.476,0.759,1.054,0.525,-0.506,0.519
0.911,0.759,-1.770,2.677,1.840,0.519
-0.283,-1.317,-0.048,-0.552,-0.506,0.519
0.911,0.759,-0.737,-0.552,-0.506,0.519
0.911,-1.317,-0.875,3.753,1.840,0.519
0.911,0.759,-0.255,1.601,-0.506,0.519
-0.283,0.759,0.159,-0.552,-0.506,0.519
0.911,-1.317,-0.944,4.830,1.840,0.519
-0.283,0.759,-0.599,-0.552,-0.506,0.519
0.911,0.759,-0.255,0.525,-0.506,-2.053
0.911,0.759,0.159,-0.552,-0.506,0.519
0.911,0.759,-0.324,-0.552,-0.506,0.519
-0.283,0.759,-1.989,-0.552,1.840,0.519
0.911,-1.317,0.021,-0.552,-0.506,0.519
0.911,0.759,-0.530,-0.552,-0.506,0.519
0.911,0.759,-0.048,-0.552,-0.506,0.519
-1.476,0.759,-0.117,-0.552,-0.506,0.519
-0.283,-1.317,-0.875,-0.552,-0.506,0.519
0.911,-1.317,0.227,2.677,-0.506,0.519
0.911,0.759,-0.944,0.525,3.012,0.519
-1.476,-1.317,-0.461,2.677,1.840,0.519
0.911,0.759,-0.393,-0.552,-0.506,0.519
0.911,0.759,-0.048,-0.552,-0.506,0.519
0.911,0.759,-0.668,-0.552,-0.506,0.519
-1.476,0.759,1.123,0.525,-0.506,0.519
0.911,0.759,-0.255,0.525,1.840,0.519
0.911,0.759,2.018,-0.552,-0.506,0.519
-1.476,0.759,2.845,-0.552,-0.506,-2.053
-1.476,0.759,-0.461,-0.552,0.667,-2.053
-0.283,-1.317,0.296,-0.552,0.667,0.519
-0.283,0.759,0.296,0.525,-0.506,0.519
0.911,-1.317,-0.117,-0.552,-0.506,0.519
-1.476,0.759,-0.599,-0.552,0.667,0.519
0.911,0.759,0.227,-0.552,-0.506,0.519
0.911,0.759,0.503,1.601,-0.506,0.519
0.911,0.759,-0.117,-0.552,-0.506,0.519
0.911,-1.317,-0.599,-0.552,-0.506,0.519
0.911,0.759,0.572,-0.552,-0.506,0.519
-1.476,0.759,1.192,-0.552,-0.506,0.519
0.911,-1.317,-1.047,0.525,-0.506,-2.053
0.911,0.759,-0.530,-0.552,-0.506,0.519
0.911,-1.317,-0.668,0.525,-0.506,0.519
0.911,-1.317,-0.875,-0.552,-0.506,-2.053
0.911,0.759,-0.599,-0.552,-0.506,0.519
0.911,0.759,2.811,-0.552,-0.506,-0.767
-0.283,0.759,-0.048,0.525,-0.506,0.519
-1.476,0.759,-0.393,-0.552,0.667,-2.053
0.911,-1.317,-1.908,3.753,1.840,0.519
-0.283,0.759,-0.599,1.601,-0.506,0.519
-0.283,0.759,0.193,0.525,-0.506,-2.053
-0.283,-1.317,0.193,-0.552,-0.506,0.519
-1.476,0.759,1.674,-0.552,0.667,0.519
0.911,0.759,-1.219,0.525,-0.506,-2.053
0.911,0.759,-0.393,-0.552,-0.506,0.519
0.911,0.759,1.054,-0.552,-0.506,0.519
0.911,0.759,0.227,-0.552,-0.506,-2.053
0.911,0.759,-0.668,-0.552,-0.506,0.519
0.911,-1.317,1.192,0.525,-0.506,0.519
-0.283,-1.317,-0.048,0.525,-0.506,0.519
-0.283,0.759,-0.324,-0.552,-0.506,0.519
-0.283,0.759,-0.461,-0.552,-0.506,-2.053
-1.476,-1.317,-0.737,-0.552,1.840,0.519
-1.476,0.759,0.503,0.525,-0.506,0.519
0.911,0.759,-0.944,-0.552,-0.506,0.519
-1.476,0.759,-0.393,-0.552,-0.506,-2.053
0.911,-1.317,-0.530,-0.552,-0.506,0.519
0.911,-1.317,-0.393,0.525,-0.506,0.519
0.911,0.759,-0.737,-0.552,-0.506,-0.767
-0.283,0.759,-0.806,-0.552,-0.506,0.519
-0.283,0.759,-0.737,0.525,0.667,0.519
0.911,0.759,-0.186,-0.552,-0.506,0.519
0.911,-1.317,-1.426,1.601,1.840,0.519
-0.283,0.759,0.468,-0.552,1.840,0.519
-0.283,0.759,0.847,-0.552,-0.506,0.519
-0.283,0.759,1.467,-0.552,-0.506,0.519
-1.476,-1.317,-0.530,0.525,-0.506,0.519
0.911,0.759,1.777,-0.552,-0.506,0.519
0.911,0.759,0.744,-0.552,1.840,0.519
-1.476,0.759,1.467,-0.552,0.667,-2.053
0.911,-1.317,-0.944,-0.552,-0.506,-0.767
0.911,0.759,0.021,-0.552,-0.506,0.519
0.911,0.759,0.985,-0.552,0.667,0.519
-0.283,-1.317,0.710,-0.552,-0.506,0.519
0.911,0.759,-0.255,-0.552,-0.506,0.519
0.911,0.759,-0.875,-0.552,-0.506,0.519
0.911,0.759,-1.977,3.753,0.667,0.519
0.911,0.759,-1.426,-0.552,1.840,0.519
0.911,-1.317,1.054,0.525,4.185,0.519
0.911,0.759,-0.117,-0.552,-0.506,0.519
-1.476,0.759,2.156,-0.552,-0.506,0.519
0.911,0.759,-1.770,3.753,0.667,-0.767
0.911,-1.317,-1.977,0.525,0.667,0.519
0.911,0.759,-0.599,-0.552,-0.506,0.519
-1.476,0.759,1.812,-0.552,-0.506,-2.053
0.911,0.759,-0.806,0.525,0.667,0.519
-1.476,-1.317,1.398,-0.552,-0.506,-2.053
-0.283,0.759,0.021,-0.552,-0.506,0.519
0.911,0.759,0.434,-0.552,-0.506,0.519
0.911,0.759,-1.426,3.753,1.840,0.519
-0.283,0.759,-1.977,1.601,0.667,0.519
0.911,-1.317,-1.770,-0.552,1.840,0.519
-1.476,0.759,1.054,-0.552,-0.506,0.519
0.911,0.759,0.710,0.525,0.667,-0.767
0.911,0.759,0.434,-0.552,-0.506,0.519
-0.283,-1.317,0.159,-0.552,-0.506,0.519
-0.283,0.759,-0.737,-0.552,-0.506,0.519
0.911,-1.317,-0.737,0.525,-0.506,0.519
-0.283,0.759,-1.839,0.525,0.667,0.519
-1.476,-1.317,0.985,-0.552,-0.506,-2.053
-1.476,-1.317,1.950,-0.552,-0.506,-2.053
0.911,0.759,0.847,-0.552,0.667,0.519
-0.283,-1.317,-0.393,-0.552,-0.506,0.519
0.911,0.759,-0.117,-0.552,-0.506,0.519
0.911,0.759,0.296,-0.552,-0.506,0.519
0.911,0.759,1.088,-0.552,-0.506,-2.053
0.911,0.759,-0.806,-0.552,-0.506,0.519
0.911,-1.317,-1.908,-0.552,0.667,0.519
0.911,0.759,0.159,0.525,-0.506,0.519
0.911,0.759,-0.255,-0.552,-0.506,-2.053
0.911,-1.317,-0.944,-0.552,-0.506,-0.767
-1.476,0.759,0.710,-0.552,-0.506,-2.053
0.911,0.759,-0.393,-0.552,-0.506,0.519
-0.283,-1.317,0.365,-0.552,-0.506,0.519
0.911,0.759,-0.530,-0.552,-0.506,0.519
-0.283,0.759,0.021,-0.552,-0.506,0.519
